CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.038543,0.400000,0.400000,0.266091,0.266339,0.266356,0.266027,0.266034,
0.098093,0.400000,0.400000,0.295232,0.295482,0.295497,0.295168,0.295166,
0.146344,0.400000,0.400000,0.309581,0.309831,0.309848,0.309523,0.309519,
0.116395,0.400000,0.400000,0.289997,0.290244,0.290261,0.289942,0.289945,
0.048961,0.400000,0.400000,0.262020,0.262265,0.262281,0.261962,0.261970,
0.038509,0.400000,0.400000,0.266061,0.266310,0.266325,0.265997,0.266005,
0.098000,0.400000,0.400000,0.295193,0.295442,0.295458,0.295130,0.295127,
0.146323,0.400000,0.400000,0.309582,0.309831,0.309849,0.309525,0.309519,
0.116454,0.400000,0.400000,0.290025,0.290274,0.290291,0.289973,0.289975,
0.049014,0.400000,0.400000,0.262039,0.262287,0.262303,0.261984,0.261992,
0.038476,0.400000,0.400000,0.266041,0.266291,0.266307,0.265979,0.265985,
0.097943,0.400000,0.400000,0.295176,0.295427,0.295442,0.295113,0.295110,
0.146321,0.400000,0.400000,0.309595,0.309846,0.309863,0.309538,0.309533,
0.116575,0.400000,0.400000,0.290080,0.290329,0.290345,0.290026,0.290029,
0.049413,0.400000,0.400000,0.262185,0.262431,0.262448,0.262129,0.262137,
0.038851,0.400000,0.400000,0.266162,0.266411,0.266427,0.266099,0.266106,
0.098250,0.400000,0.400000,0.295274,0.295524,0.295540,0.295211,0.295208,
0.146697,0.400000,0.400000,0.309731,0.309981,0.309998,0.309675,0.309669,
0.116960,0.400000,0.400000,0.290214,0.290463,0.290479,0.290161,0.290164,
0.049471,0.400000,0.400000,0.262194,0.262442,0.262458,0.262139,0.262148,
0.038717,0.400000,0.400000,0.266103,0.266352,0.266367,0.266040,0.266046,
0.098093,0.400000,0.400000,0.295217,0.295466,0.295482,0.295155,0.295151,
0.146589,0.400000,0.400000,0.309705,0.309955,0.309972,0.309648,0.309642,
0.116934,0.400000,0.400000,0.290218,0.290466,0.290483,0.290164,0.290167,
0.049440,0.400000,0.400000,0.262183,0.262430,0.262445,0.262127,0.262135,
0.038620,0.400000,0.400000,0.266060,0.266310,0.266324,0.265997,0.266004,
